epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1360.96,0.90082,0.38239,0.31365,0.70939,1.46473,0.93299,0.77383,0.8723,0.61724,0.88723,0.87481,0.91068,0.81813,1.26973,0.51831,0.38807,0.88754,2.26705,0.0009308,0.0009308,0.0009308
56,1380.24,0.8316,0.31874,0.3232,0.65646,1.39023,0.93229,0.76558,0.84442,0.60543,0.88774,0.87912,0.90246,0.78618,1.27422,0.49873,0.42393,0.93424,2.27041,0.000911,0.000911,0.000911
57,1403.48,0.84883,0.3918,0.32407,0.64075,1.50147,0.93234,0.76616,0.8383,0.55941,0.88226,0.88889,0.90719,0.82031,1.38731,0.48465,0.51879,0.98083,2.46578,0.0008912,0.0008912,0.0008912
58,1424.01,0.85501,0.36599,0.28862,0.64683,1.52837,0.82784,0.83333,0.85065,0.53178,0.88427,0.88889,0.91668,0.82291,1.40759,0.41012,0.48229,0.98033,2.53117,0.0008714,0.0008714,0.0008714
59,1444.58,0.96285,0.35765,0.31216,0.70482,1.53592,0.8262,0.83333,0.83946,0.57235,0.89406,0.93799,0.91967,0.84076,1.26237,0.39898,0.58016,0.96881,2.31936,0.0008516,0.0008516,0.0008516
60,1469.89,0.84428,0.26922,0.29667,0.638,1.35449,0.83094,0.83333,0.87619,0.6224,0.849,0.93742,0.91982,0.82625,1.18127,0.42857,0.66567,0.90469,2.17219,0.0008318,0.0008318,0.0008318
61,1490.16,0.80049,0.31239,0.29913,0.63325,1.40099,0.82763,0.83333,0.86807,0.64854,0.89421,0.93941,0.92967,0.84034,1.09825,0.40329,0.57173,0.8466,2.1062,0.000812,0.000812,0.000812
62,1509.49,0.79703,0.25723,0.28864,0.60631,1.43978,0.88032,0.81799,0.88239,0.66118,0.8934,0.93175,0.9228,0.86146,1.08318,0.34532,0.404,0.80707,2.12889,0.0007922,0.0007922,0.0007922
63,1532.32,0.78557,0.24877,0.2829,0.6054,1.43383,0.88208,0.83333,0.87964,0.64686,0.94427,0.94142,0.92,0.87831,1.0867,0.30249,0.29387,0.81471,2.16357,0.0007724,0.0007724,0.0007724
64,1553.09,0.79413,0.33969,0.28381,0.57874,1.39657,0.825,0.83333,0.85988,0.60307,0.89443,0.94155,0.90905,0.866,1.07866,0.30744,0.27605,0.84459,2.15178,0.0007526,0.0007526,0.0007526
65,1573.35,0.95335,0.3774,0.32102,0.67385,1.55106,0.87711,0.83333,0.86431,0.59204,0.94426,0.94126,0.92,0.88151,1.15776,0.31015,0.29029,0.8803,2.18419,0.0007328,0.0007328,0.0007328
66,1592.54,0.80581,0.27309,0.27914,0.61016,1.47965,0.87569,0.83333,0.85712,0.60083,0.94398,0.93648,0.92333,0.88045,1.11413,0.3364,0.3364,0.85309,2.13073,0.000713,0.000713,0.000713
67,1610.98,0.77726,0.29919,0.28031,0.64827,1.41933,0.93485,0.83333,0.84713,0.63579,0.88269,0.94444,0.91927,0.87907,0.99167,0.43532,0.4269,0.83532,2.01074,0.0006932,0.0006932,0.0006932
68,1631.37,0.74506,0.27382,0.29075,0.57014,1.35707,0.92986,0.83333,0.84713,0.64033,0.94427,0.94156,0.92333,0.89031,1.03535,0.40406,0.38907,0.91604,2.01156,0.0006734,0.0006734,0.0006734
69,1650.25,0.76141,0.25076,0.2539,0.56064,1.32706,0.91356,0.83333,0.85386,0.62876,0.89463,0.94341,0.91592,0.88971,1.08588,0.3735,0.38511,0.87347,2.07316,0.0006536,0.0006536,0.0006536
